#,Ethn+,App,Workshop,Doubles,Country,Speakers,Script,Status,"MONTH
PROJECT
FOLDER
CREATED","MONTH
1st APP
COM-
PLETED",CONCAT,"Min
API
(man)","Font
(manual)","Key
Store
(man)","SIL
Logo
(man)","Image
Collection","Res
Size
(MB)","Target
SDK","Last
Drive
Ver","Sent
On","Last
Play
Store
Ver","Play
Store
Host","Up
loaded
On","Firebase
Project","Lang
Pack
(Github)","Promo
on
social
media?","Private
Github",Comments,Lg Rank
1,abs1,absTesting1,,no,Testing Land,0,Latin,preparing,11/1/24,,Testing Land_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,907
2,abs2,absTesting2,,no,Testing Land,0,Latin,preparing,11/1/24,,Testing Land_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,907
3,acf,acfKweyol,,no,Saint Lucia,"688,953",Latin,preparing,9/1/21,,Saint Lucia_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,783
4,agz,agzInagta,,no,Philippines,"1,500",Latin,preparing,2/1/25,,Philippines_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,4830
5,ahk,ahkAkha,,no,China,"240,000",Latin,Play Store,12/1/21,6/1/22,China_Play Store,21,"charis
sil",AT,yes,,29,36,2.8.0,9/9/25,2.8.0,AT,9/4/25,2,G01100,-,-,,567
6,ajg,ajgAja,Kenya 2024,no,Benin,"1,280,000",Latin,team,5/1/24,6/1/24,Benin_team,-,-,-,-,,-,,-,,-,,,5,-,-,-,,408
7,ajz,ajzAmriKarbi,,no,India,"125,000",Latin,Play Store,10/1/20,2/1/21,India_Play Store,21,"charis
sil",AT,yes,"local artist, freepik.com, pixabay.com",28,34,1.7.7.4,7/26/24,1.7.7.4,AT,7/26/24,1,-,no,In Private GitHub,,1258
8,akb,akbBatakAngkola,Suluh Feb 2025,no,Indonesia,"535,000",Latin,team,2/1/25,6/1/25,Indonesia_team,21,"andika
new
basic",AT,yes,"ARCODI, Flaticon, The Mission Global",37,35,2.6.4,6/16/25,-,,,,-,-,-,,508
9,ake,akeAkawaio,,no,Guyana,"4,500",Latin,team,3/1/25,8/1/25,Guyana_team,21,"charis
sil",AT,yes,,59,36,2.8.1 (185),9/16/25,-,-,-,8,-,-,-,,3718
10,alzJnm,alzJnmJonam,,no,Democratic Republic of the Congo,"2,530,000",Latin,preparing,3/1/25,,Democratic Republic of the Congo_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,318
11,ame,ameYanesha,,no,Peru,"7,520",Latin,preparing,9/1/22,,Peru_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,3455
12,amf,amfHamar,,no,Ethiopia,"81,520",Latin,Play Store,4/1/23,9/1/23,Ethiopia_Play Store,21,"charis
sil",AT,yes,,20,36,1.5.0,10/21/23,2.9.0.1,AT,10/31/25,2,J10000,-,-,,1588
13,amu,amuAmuzgoGuerrero,,no,Mexico,"45,900",Latin,preparing,4/1/22,,Mexico_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,1920
14,amu2,amuAmuzgoGuerreroB,,yes,Mexico,"45,900",Latin,preparing,11/1/23,,Mexico_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,1919
15,ann,annObolo,,no,Nigeria,"250,000",Latin,Play Store,10/1/21,1/1/22,Nigeria_Play Store,19,"charis
sil",AT,yes,,25,32,0.9.5,8/13/22,-,AT,,2,F01100,-,-,,907
16,any,anyAnyin,,no,Ivory Coast,"1,450,000",Latin,preparing,9/1/22,,Ivory Coast_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,352
17,arn,arnMapudungun,,no,Chile,"258,410",Latin,preparing,11/1/25,,Chile_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,
18,asj,asjSari,,no,Cameroon,"7,600",Latin,preparing,10/1/25,,Cameroon_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,
19,azb,azbTurkmen,,no,Iran,"14,629,370",Arabic,preparing,2/1/23,,Iran_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,88
20,bam,bamBambara,,no,Mali,"14,188,850",Latin,team,10/1/24,12/1/24,Mali_team,21,"charis
sil",AT,yes,,35,35,2.4.4,1/22/25,-,,,6,-,-,-,,196
21,ban,banBali,Suluh Feb 2025,no,Indonesia,"3,306,300",Latin,preparing,2/1/25,,Indonesia_preparing,-,-,-,-,"ARCODI, 
The Mission Global, Flaticon,
Canva",-,,-,,-,,,,-,-,-,,780
22,bas,basBassa,Kenya 2024,no,Cameroon,"300,000",Latin,team,6/1/24,6/1/24,Cameroon_team,21,"andika
new
basic",AT,yes,,25,34,1.7.7,6/30/24,-,,,4,-,-,-,,818
23,bbj,bbjGhomala,,no,Cameroon,"29,000",Latin,preparing,7/1/24,,Cameroon_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,759
24,bbk,bbkKejom,Cameroon 2025,no,Cameroon,"39,000",Latin,team,7/1/24,9/1/25,Cameroon_team,21,"andika
new
basic",FB,yes,,19,36,2.8.0,9/25/25,-,,,,-,-,-,,2046
25,bcw,bcwBana,,no,Cameroon,"23,000",Latin,preparing,3/1/23,,Cameroon_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,2429
26,bcw2,bcwBana2,,yes,Cameroon,"23,000",Latin,preparing,3/1/25,,Cameroon_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,2429
27,bcy,bcyBwatiye,Kenya 2024,no,Nigeria,"304,000",Latin,Play Store,5/1/24,6/1/24,Nigeria_Play Store,21,"andika
new
basic",AT,yes,,,35,2.4.4,1/29/25,2.4.4,"IPS, Nigeria",1/29/25,4,-,-,-,,1166
28,bda,bdaBayot,Senegal 2026,no,Senegal,"36,800",Latin,team,1/1/26,2/1/26,Senegal_team,21,"andika
new
basic",SIL Senegal,yes,,,36,-,2/11/26,-,,,6b,,,,,
29,bdg,bdgBonggi,,no,Malaysia,"1,400",Latin,team,2/1/25,2/1/25,Malaysia_team,21,"andika
new
basic",AT,yes,"ARCODI, Flaticon, The Mission Global",,35,2.5.8,4/22/25,,,,6,-,-,-,,4886
30,bdv,bdvBodoParja,,no,India,"50,000",Kalinga,team,2/1/24,2/1/24,India_team,?,?,?,?,,?,?,?,?,-,,,4,-,-,-,"Created by Anita in Bangalore workshop Feb 5-9, Aaron hasn't seen the app yet",1837
31,bec,becIceve,,no,Cameroon,"12,000",Latin,Play Store,9/1/21,12/1/21,Cameroon_Play Store,21,"charis
sil",Kalaam,yes,,12,32,1.2.3,2/16/23,1.2.3,"IPS, Cameroon",3/7/23,2,G01100,-,-,,2961
32,bfy,bfyBagheli,,no,India,"2,680,000",Devanagari,Play Store,10/1/24,6/1/25,India_Play Store,21,unknown,"Wyc
India",unknown,"pexels.com, unsplash.com, flaticon.com",unknown,unknown,unknown,unknown,2.1.4,W P T,1/29/25,,-,-,-,,240
33,bgd,bgdRathwiBareli,GK Team,no,India,"359,000",Devanagari,team,2/1/24,8/1/24,India_team,?,?,?,?,"unsplash.com, pexels.com",?,?,?,?,-,,,,-,-,-,,751
34,bgi,bgiBagoboKlata,,no,Philippines,"58,500",Latin,preparing,2/1/25,,Philippines_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,1754
35,bgq,bgqBagri,,no,India,"1,890,000",Devanagari,Play Store,10/1/24,6/1/25,India_Play Store,21,unknown,"Wyc
India",unknown,"pexels.com, unsplash.com, flaticon.com",unknown,unknown,unknown,unknown,2.4.6,W P T,3/6/25,,-,-,-,,275
36,bha,bhaBharia,,no,India,"197,000",Devanagari,Play Store,10/1/24,6/1/25,India_Play Store,21,unknown,"Wyc
India",unknown,"pexels.com, unsplash.com, flaticon.com",unknown,unknown,unknown,unknown,2.4.6,W P T,3/6/25,,-,-,-,,1029
37,bhs,bhsBuwal,Cameroon 2025,no,Cameroon,"10,000",Latin,team,7/1/24,9/1/25,Cameroon_team,21,"charis
sil",FB,yes,,22,36,2.8.0,9/25/25,-,,,,-,-,-,,3109
38,bjn,bjnBanjar,Suluh Feb 2025,no,Indonesia,"3,655,000",Latin,team,2/1/25,4/1/25,Indonesia_team,35,"andika
new
basic",AT,yes,"ARCODI, Flaticon, The Mission Global, Canva",27.6,21,2.5.2,4/10/25,-,,,6,-,-,-,,209
39,bjt,bjtBalante,Senegal 2026,no,Senegal,"134,000",Latin,team,1/1/26,2/1/26,Senegal_team,21,"andika
new
basic",SIL Senegal,yes,,-,36,-,2/11/26,-,,,6b,,,,,
40,bkm,bkmKom,,no,Cameroon,"233,000",Latin,preparing,2/1/26,,Cameroon_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,
41,bkx,bkxBaikeno,,no,East Timor,"71,880",Latin,preparing,8/1/25,,East Timor_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,1597
42,blo,bloAnii,,no,Benin,"58,800",Latin,preparing,5/1/23,,Benin_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,1887
43,blz,blzBalantak,,no,Indonesia,"20,500",Latin,preparing,1/1/26,,Indonesia_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,
44,blz,blzBalantak,,no,Indonesia,"20,500",Latin,preparing,1/1/26,,Indonesia_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,
45,bmo,bmoChrambo,,no,Cameroon,"350,000",Latin,preparing,7/1/24,,Cameroon_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,2262
46,bnm,bnmBatanga,,no,Cameroon,"13,750",Latin,preparing,3/1/23,,Cameroon_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,2876
47,bns,bnsBundeli,,no,India,"5,630,000",Devanagari,preparing,2/1/24,,India_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,157
48,bqj,bqjBandial,Senegal 2026,no,Senegal,"18,100",Latin,team,1/1/26,2/1/26,Senegal_team,21,"andika
new
basic",SIL Senegal,yes,,,36,-,2/11/26,-,,,6b,,,,,
49,bra,braBrajbhasha,GK Team,no,India,"1,560,000",Devanagari,team,2/1/24,2/1/24,India_team,?,?,?,?,"unsplash.com, pexels.com",?,?,?,?,-,,,4,-,-,-,"Created by Anita in Bangalore workshop Feb 5-9, Aaron hasn't seen the app yet",338
50,bri,briMokpwe,,no,Cameroon,"20,000",Latin,preparing,9/1/25,,Cameroon_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,2514
51,bug,bugBugis,Suluh Feb 2025,no,Indonesia,"4,398,800",Latin,preparing,2/1/25,,Indonesia_preparing,-,-,-,-,"ARCODI, Flaticon, The Mission Global, Canva",-,,-,,-,,,,-,-,-,,202
52,bum,bumBulu,,no,Cameroon,"1,658,000",Latin,preparing,9/1/25,,Cameroon_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,433
53,bxk,bxkBukusu,,no,Kenya,"1,227,100",Latin,preparing,7/1/24,,Kenya_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,357
54,bzi,bziBisu,,no,Thailand,700,Thai,preparing,7/1/22,,Thailand_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,5374
55,cab,cabGarifuna,,no,Honduras,"43,100",Latin,preparing,11/1/23,,Honduras_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,1084
56,cae,caeLaalaa,Senegal 2026,no,Senegal,"19,500",Latin,team,1/1/26,2/1/26,Senegal_team,21,"andika
new
basic",SIL Senegal,yes,,-,36,-,2/6/26,-,,,6b,-,-,-,,
57,cak,cakKaqchikel,,no,Guatemala,"411,000",Latin,preparing,11/1/23,,Guatemala_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,697
58,cbl,cblBualkhawChin,,no,Myanmar,"15,000",Latin,preparing,2/1/25,,Myanmar_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,4389
59,cbr,cbrCacataibo,,no,Peru,"2,780",Latin,preparing,7/1/21,,Peru_preparing,-,-,-,-,,-,,-,,-,,,,-,-,-,,4335
