Door,Country,ChallengeLevel,Color,InstructionAudio,AudioDuration,SyllOrTile,StagesIncluded,"Friendly Name",,"Required Assets","If no tile audio...","If no syll breaks/tab...","If no syll audio...","Thailand Ref","Thailand Choice",CL,"Concat Name","Repeat for Vlookup",CL=CL?,,,,,,basic
1,Romania,1,5,X,naWhileMPOnly,T,-,"Learn the Tiles",,"Basic Assets",Functional,n/a,n/a,,,1,Romania1T,"Learn the Tiles","oh no!",,,,,,1
2,Malaysia,1,5,X,naWhileMPOnly,T,-,"Word List",,"Basic Assets",Functional,Functional,Functional,,,1,Malaysia1T,"Word List","oh no!",,,,1,TILE_LOWER,1
3,Iraq,1,5,X,naWhileMPOnly,T,-,"Interactive Tile Chart",,TA,"Not Functional",Functional,Functional,,,1,Iraq1T,"Interactive Tile Chart","oh no!",,,,,,0
4,Thailand,155,0,X,naWhileMPOnly,T,-,"Basic Matching: Word Image to Word Image: Level 1",,"Basic Assets",Functional,Functional,Functional,WORD_IMAGE,WORD_IMAGE,1,Thailand155T,"Basic Matching: Word Image to Word Image: Level 1",,,,,2,TILE_UPPER,0
5,Thailand,255,0,X,naWhileMPOnly,T,-,"Basic Matching: Word Image to Word Image: Level 2",,"Basic Assets",Functional,Functional,Functional,WORD_IMAGE,WORD_IMAGE,2,Thailand255T,"Basic Matching: Word Image to Word Image: Level 2",,,,,3,TILE_AUDIO,0
6,Thailand,355,0,X,naWhileMPOnly,T,-,"Basic Matching: Word Image to Word Image: Level 3",,"Basic Assets",Functional,Functional,Functional,WORD_IMAGE,WORD_IMAGE,3,Thailand355T,"Basic Matching: Word Image to Word Image: Level 3",,,,,4,WORD_TEXT,0
7,Thailand,165,1,X,naWhileMPOnly,T,-,"Basic Matching: Word Audio to Word Image: Level 1",,"Basic Assets",Functional,Functional,Functional,WORD_AUDIO,WORD_IMAGE,1,Thailand165T,"Basic Matching: Word Audio to Word Image: Level 1",,,,,5,WORD_IMAGE,0
8,Thailand,265,1,X,naWhileMPOnly,T,-,"Basic Matching: Word Audio to Word Image: Level 2",,"Basic Assets",Functional,Functional,Functional,WORD_AUDIO,WORD_IMAGE,2,Thailand265T,"Basic Matching: Word Audio to Word Image: Level 2",,,,,6,WORD_AUDIO,0
9,Thailand,365,1,X,naWhileMPOnly,T,-,"Basic Matching: Word Audio to Word Image: Level 3",,"Basic Assets",Functional,Functional,Functional,WORD_AUDIO,WORD_IMAGE,3,Thailand365T,"Basic Matching: Word Audio to Word Image: Level 3",,,,,7,SYLLABLE_TEXT,0
10,Sudan,1,5,X,naWhileMPOnly,S,-,"Syllable List",,SB/T+SA,n/a,Crashes!,"Partially Functional",,,1,Sudan1S,"Syllable List","oh no!",,,,8,SYLLABLE_AUDIO,0
11,Thailand,177,2,X,naWhileMPOnly,S,-,"Basic Matching: Syllable Text to Syllable Text: Level 1",,SB/T,n/a,Crashes!,Functional,SYLLABLE_TEXT,SYLLABLE_TEXT,1,Thailand177S,"Basic Matching: Syllable Text to Syllable Text: Level 1",,,,,,,0
12,Thailand,277,2,X,naWhileMPOnly,S,-,"Basic Matching: Syllable Text to Syllable Text: Level 2",,SB/T,n/a,Crashes!,Functional,SYLLABLE_TEXT,SYLLABLE_TEXT,2,Thailand277S,"Basic Matching: Syllable Text to Syllable Text: Level 2",,,,,,,0
13,Sudan,1,5,X,naWhileMPOnly,T,-,"Tile List",,TA,Crashes!,n/a,n/a,,,1,Sudan1T,"Tile List","oh no!",,,,,,0
14,Thailand,111,3,X,naWhileMPOnly,T,-,"Basic Matching: Lower Case Tile Text to Lower Case Tile Text: Level 1",,TA,"Not Functional",n/a,n/a,,,1,Thailand111T,"Basic Matching: Lower Case Tile Text to Lower Case Tile Text: Level 1",,,,,,,0
15,Thailand,211,3,X,naWhileMPOnly,T,-,"Basic Matching: Lower Case Tile Text to Lower Case Tile Text: Level 2",,TA,"Not Functional",n/a,n/a,,,2,Thailand211T,"Basic Matching: Lower Case Tile Text to Lower Case Tile Text: Level 2",,,,,,,0
16,Thailand,122,4,X,naWhileMPOnly,T,-,"Basic Matching: Upper Case Tile Text to Upper Case Tile Text: Level 1",,TA,"Not Functional",n/a,n/a,TILE_UPPER,TILE_UPPER,1,Thailand122T,"Basic Matching: Upper Case Tile Text to Upper Case Tile Text: Level 1",,,,,,,0
17,Thailand,222,4,X,naWhileMPOnly,T,-,"Basic Matching: Upper Case Tile Text to Upper Case Tile Text: Level 2",,TA,"Not Functional",n/a,n/a,TILE_UPPER,TILE_UPPER,2,Thailand222T,"Basic Matching: Upper Case Tile Text to Upper Case Tile Text: Level 2",,,,,,,0
18,Thailand,112,7,X,naWhileMPOnly,T,-,"Basic Matching: Lower Case Tile Text to Upper Case Tile Text: Level 1",,TA,"Not Functional",n/a,n/a,,TILE_UPPER,1,Thailand112T,"Basic Matching: Lower Case Tile Text to Upper Case Tile Text: Level 1",,,,,,,0
19,Thailand,121,7,X,naWhileMPOnly,T,-,"Basic Matching: Upper Case Tile Text to Lower Case Tile Text: Level 1",,TA,"Not Functional",n/a,n/a,TILE_UPPER,,1,Thailand121T,"Basic Matching: Upper Case Tile Text to Lower Case Tile Text: Level 1",,,,,,,0
20,Thailand,212,7,X,naWhileMPOnly,T,-,"Basic Matching: Lower Case Tile Text to Upper Case Tile Text: Level 2",,TA,"Not Functional",n/a,n/a,,TILE_UPPER,2,Thailand212T,"Basic Matching: Lower Case Tile Text to Upper Case Tile Text: Level 2",,,,,,,0
21,Thailand,221,7,X,naWhileMPOnly,T,-,"Basic Matching: Upper Case Tile Text to Lower Case Tile Text: Level 2",,TA,"Not Functional",n/a,n/a,TILE_UPPER,,2,Thailand221T,"Basic Matching: Upper Case Tile Text to Lower Case Tile Text: Level 2",,,,,,,0
