Door	Country	ChallengeLevel	Color	InstructionAudio	AudioDuration	SyllOrTile	StagesIncluded	Friendly Name
1	Romania	1	5	X	naWhileMPOnly	T	-	Learn the Tiles
2	Malaysia	1	5	X	naWhileMPOnly	T	-	Word List
3	Iraq	1	5	X	naWhileMPOnly	T	-	Interactive Tile Chart
4	Georgia	1	4	X	naWhileMPOnly	T	-	Identify the Initial Tile: Level 1
5	Brazil	1	2	X	naWhileMPOnly	T	-	Identify the Missing Vowel: Level 1
6	Brazil	4	2	X	naWhileMPOnly	T	-	Identify the Missing Consonant: Level 1
7	Georgia	2	4	X	naWhileMPOnly	T	-	Identify the Initial Tile: Level 2
8	Brazil	2	2	X	naWhileMPOnly	T	-	Identify the Missing Vowel: Level 2
9	Brazil	5	2	X	naWhileMPOnly	T	-	Identify the Missing Consonant: Level 2
10	Peru	1	3	X	naWhileMPOnly	T	-	Choose the Correctly Spelled Word: Level 1
11	Ecuador	1	0	X	naWhileMPOnly	T	-	Choose the Matching Word: Level 1
12	Italy	1	1	X	naWhileMPOnly	T	-	Lotería (Bingo): Level 1
13	Brazil	3	2	X	naWhileMPOnly	T	-	Identify the Missing Vowel: Level 3
14	Brazil	6	2	X	naWhileMPOnly	T	-	Identify the Missing Consonant: Level 3
15	Mexico	1	0	X	naWhileMPOnly	T	-	Memory: Level 1
16	Georgia	3	4	X	naWhileMPOnly	T	-	Identify the Initial Tile: Level 3
17	Peru	2	3	X	naWhileMPOnly	T	-	Choose the Correctly Spelled Word: Level 2
18	Georgia	4	4	X	naWhileMPOnly	T	-	Identify the Initial Tile: Level 1
19	Mexico	3	0	X	naWhileMPOnly	T	-	Memory: Level 3
20	Georgia	5	4	X	naWhileMPOnly	T	-	Identify the Initial Tile: Level 2
21	Peru	3	3	X	naWhileMPOnly	T	-	Choose the Correctly Spelled Word: Level 3
22	Mexico	2	0	X	naWhileMPOnly	T	-	Memory: Level 2
23	Georgia	6	4	X	naWhileMPOnly	T	-	Identify the Initial Tile: Level 3
24	Mexico	4	0	X	naWhileMPOnly	T	-	Memory: Level 4
25	UnitedStates	1	10	X	naWhileMPOnly	T	-	Build the Word from Tile Pairs: Level 1
26	Colombia	1	1	X	naWhileMPOnly	T	-	Spell the Word: Level 1
27	Myanmar	1	8	X	naWhileMPOnly	T	-	Word Search: Level 1
28	Colombia	2	1	X	naWhileMPOnly	T	-	Spell the Word: Level 2
29	UnitedStates	2	10	X	naWhileMPOnly	T	-	Build the Word from Tile Pairs: Level 2
30	Mexico	5	0	X	naWhileMPOnly	T	-	Memory: Level 5
31	Myanmar	2	8	X	naWhileMPOnly	T	-	Word Search: Level 2
32	UnitedStates	3	10	X	naWhileMPOnly	T	-	Build the Word from Tile Pairs: Level 3
33	Myanmar	3	8	X	naWhileMPOnly	T	-	Word Search: Level 3
34	China	1	9	X	naWhileMPOnly	T	-	Game of Fifteen (15): Level 1
35	Chile	1	6	X	naWhileMPOnly	T	-	Guess the Word: Level 1
36	Colombia	3	1	X	naWhileMPOnly	T	-	Spell the Word: Level 3
